date,index,mom_pct_change,rev_pct_change,SP500_pct_change
2010-01-04,0.0,0.0,0.0,0.01604341766668682
2010-01-05,0.0,0.030287263496384786,-0.005360555227659214,0.0031156756258232665
2010-01-06,0.0,0.01966208829615258,-0.015087438630948368,0.0005455206301101523
2010-01-07,0.0,0.06375488389730391,0.0001153350408935383,0.00400120187417663
2010-01-08,0.0,-0.0007162370840329447,-0.016731568824386044,0.0028817272914287706
2010-01-11,0.0,0.013197433254310298,-0.013065027494448444,0.0017467554316374923
2010-01-12,0.0,0.030833812248278823,-0.030649862444366727,-0.009381166148364262
2010-01-13,0.0,0.023575955951863438,0.00045437523542879443,0.008325925658531075
2010-01-14,0.0,0.02507215126732052,-0.015182978948506865,0.0024264254383745687
2010-01-15,0.0,-0.008668797112824145,-0.020565367692397994,-0.010823130159869354
2010-01-19,0.0,0.018389054843452,0.0025563919767023547,0.012499626599363545
2010-01-20,0.0,-0.004295469544405461,-0.010865725960368954,-0.010597829662970737
2010-01-21,0.0,-0.017664030228720273,-0.02036254218518204,-0.01894490338978838
2010-01-22,0.0,-0.0210743190190535,-0.017417248361946903,-0.022140988764300484
2010-01-25,0.0,0.004744172352396547,0.0027418605653795835,0.004598098012701168
2010-01-26,0.0,-0.010128111044487197,-0.0065336468217280005,-0.004203199573680982
2010-01-27,0.0,0.011434010899290747,0.0049125619793388255,0.004880152210944955
2010-01-28,0.0,-0.002324155265241845,-0.01826460004863332,-0.011817740959567224
2010-01-29,0.0,-0.005740537977681937,-0.014308374747762854,-0.009829173828039273
2010-02-01,0.0,0.032625352761094,0.023524850369356365,0.014266108894671836
2010-02-02,0.0,0.012574728148944392,0.005399654072671412,0.01297294837718499
2010-02-03,1.0,-0.010673363312350392,-0.00693112853691884,-0.00547431142933863
2010-02-04,1.0,-0.030475461395346338,-0.024053335567366607,-0.031140677888039425
2010-02-05,1.0,0.003635736953141411,-0.0008988356797766661,0.002897118921960873
2010-02-08,1.0,-0.006530105710363709,-0.0016587753740272214,-0.00886329049344714
2010-02-09,1.0,0.004550589026776519,0.0006462963744309324,0.013040132316577413
2010-02-10,1.0,-0.00025853374849205135,-0.002507753502066057,-0.0022325735201887964
2010-02-11,1.0,0.006650031922096044,0.014072307267765437,0.009680437561949251
2010-02-12,1.0,0.007422170666701788,0.0016120311853845327,-0.002744592819371894
2010-02-16,1.0,0.01987597829238221,0.011725766983465025,0.01800074864554846
2010-02-17,1.0,0.002722010658429974,0.007365522143123593,0.0042379594555796984
2010-02-18,2.0,-0.008979372314842216,0.009201691287470304,0.006584742448973557
2010-02-19,2.0,0.007431397316005639,-0.0011673951757491974,0.002186622042297248
2010-02-22,2.0,-0.00526949049189448,0.002946234156422145,-0.0010458578339902491
2010-02-23,2.0,-0.014994542278764289,-0.021661300601868418,-0.012102809596931441
2010-02-24,2.0,0.005388149165232692,0.010195502677232926,0.00972045942422195
2010-02-25,2.0,0.0008941028988667443,-0.003931558442356408,-0.002081040179913507
2010-02-26,2.0,0.0037574135765945037,-0.008973092240701952,0.0014053791778985136
2010-03-01,2.0,0.02515041002353501,0.021166428410091576,0.01015850827289455
2010-03-02,2.0,0.004053207642524448,0.012926150377308144,0.0023304422719907514
2010-03-03,2.0,-0.0030983017752207022,0.0015875460001997022,0.00042920160206150193
2010-03-04,2.0,-0.004963726957237347,0.004638424521257944,0.0037361180334851696
2010-03-05,3.0,0.022386790784389855,0.01659472812868674,0.014007480947064943
2010-03-08,3.0,0.0006539428954189464,0.009531848632093887,-0.00017559601339156572
2010-03-09,3.0,0.0033240965882653573,0.0007663394466709272,0.0017127370855292146
2010-03-10,3.0,0.009693046511991165,0.013960461537619984,0.00452455995494172
2010-03-11,3.0,0.002931882495669058,0.0035636125205884992,0.004041519314613495
2010-03-12,3.0,0.0022794467120643815,0.0034981798451235945,-0.00021734594703937127
2010-03-15,3.0,-0.0004545479235123273,0.002885458267602725,0.000452194832708086
2010-03-16,3.0,0.009015234193234656,0.011693752135800973,0.0077791163013856135
2010-03-17,3.0,0.004813613265326156,0.003599740273140084,0.005821675803744153
2010-03-18,3.0,-0.006917307498817471,-0.00464883129613386,-0.0003258460273372066
2010-03-19,3.0,-0.0075652578298200605,-0.0021217418877025216,-0.005086446449439896
2010-03-22,4.0,0.01773956938804454,-0.0001807622389206287,0.005095296193887933
2010-03-23,4.0,0.013879363431323555,0.011067538774815788,0.007170966908320198
2010-03-24,4.0,-0.004140262455854982,-0.0021361067128523705,-0.005493304207041971
2010-03-25,4.0,0.003166949130381991,-0.005814499373235371,-0.001704167338318907
2010-03-26,4.0,0.0014150214619012447,0.0014903438917638235,0.000737722599547963
2010-03-29,4.0,0.006736472367999102,0.012527127307974006,0.005683234964352302
2010-03-30,4.0,-0.007641109379699196,0.004922196617308883,4.265937281555665e-05
2010-03-31,4.0,-0.008424647522447138,0.001879343404074707,-0.00327287474868454
2010-04-01,4.0,-0.0005457363936518078,0.004632929821468868,0.0074138011482498545
2010-04-05,5.0,0.012643906687677963,0.020447724862632976,0.00792799084446738
2010-04-06,5.0,0.004404346991288888,0.0026298315492620183,0.0016842957106795176
2010-04-07,5.0,-0.005681876633220529,-0.004869243961433822,-0.005876707172041695
2010-04-08,5.0,0.0007762773750033314,0.005643401542578941,0.003374341747336196
2010-04-09,5.0,0.01004914793678452,0.002101579787299579,0.00668390656297202
2010-04-12,5.0,0.000982550687182171,0.002006685009738429,0.0017666094762833762
2010-04-13,5.0,-0.0002607399723788428,-0.0002006484730148861,0.0006854008197059169
