,index,mom_pct_change,rev_pct_change,SP500_pct_change
0.0,0.0,0.0,0.0,0.01604341766668682
1.0,0.0,0.030287263496384786,-0.005360555227659214,0.0031156756258232665
2.0,0.0,0.01966208829615258,-0.015087438630948368,0.0005455206301101523
3.0,0.0,0.06375488389730391,0.0001153350408935383,0.00400120187417663
4.0,0.0,-0.0007162370840329447,-0.016731568824386044,0.0028817272914287706
7.0,0.0,0.013197433254310298,-0.013065027494448444,0.0017467554316374923
8.0,0.0,0.030833812248278823,-0.030649862444366727,-0.009381166148364262
9.0,0.0,0.023575955951863438,0.00045437523542879443,0.008325925658531075
10.0,0.0,0.02507215126732052,-0.015182978948506865,0.0024264254383745687
11.0,0.0,-0.008668797112824145,-0.020565367692397994,-0.010823130159869354
15.0,0.0,0.018389054843452,0.0025563919767023547,0.012499626599363545
16.0,0.0,-0.004295469544405461,-0.010865725960368954,-0.010597829662970737
17.0,0.0,-0.017664030228720273,-0.02036254218518204,-0.01894490338978838
18.0,0.0,-0.0210743190190535,-0.017417248361946903,-0.022140988764300484
21.0,0.0,0.004744172352396547,0.0027418605653795835,0.004598098012701168
22.0,0.0,-0.010128111044487197,-0.0065336468217280005,-0.004203199573680982
23.0,0.0,0.011434010899290747,0.0049125619793388255,0.004880152210944955
24.0,0.0,-0.002324155265241845,-0.01826460004863332,-0.011817740959567224
25.0,1.0,-0.012142447133459577,-0.024524956149599163,-0.009829173828039273
28.0,1.0,0.01061816296429916,0.02465195377242324,0.014266108894671836
29.0,1.0,0.016096615168664875,0.012106047579335356,0.01297294837718499
30.0,1.0,-0.00947184269089304,-0.007939263944147967,-0.00547431142933863
31.0,1.0,-0.03990947897789408,-0.03749392945395108,-0.031140677888039425
32.0,1.0,0.0030442527209801453,0.0012538563029311002,0.002897118921960873
35.0,2.0,-0.006856948584173883,-0.001989729762751036,-0.00886329049344714
36.0,2.0,0.012303962076913689,0.015898173888246613,0.013040132316577413
37.0,2.0,-0.0021566937267520126,-0.006788640038769089,-0.0022325735201887964
38.0,2.0,0.018200395056185294,0.017397489240400167,0.009680437561949251
39.0,2.0,0.003528825265262303,0.005890892175516971,-0.002744592819371894
43.0,2.0,0.016483807886876766,0.03166381596698906,0.01800074864554846
44.0,2.0,0.0005776265074198039,-0.005139579510444192,0.0042379594555796984
45.0,3.0,0.005613375410321886,0.011795082379396814,0.006584742448973557
46.0,3.0,0.013377480578507706,0.00098329926624936,0.002186622042297248
49.0,3.0,0.0005826951621535681,-0.000955145290870385,-0.0010458578339902491
50.0,3.0,-0.011424645236439879,-0.022456880539875834,-0.012102809596931441
51.0,3.0,0.0057774420610456016,-0.0030939509444079306,0.00972045942422195
52.0,3.0,0.002668185733997541,-0.00247680635312898,-0.002081040179913507
53.0,3.0,0.003631929614079654,0.003946282696170966,0.0014053791778985136
56.0,4.0,0.018930695013764497,0.01950723778657356,0.01015850827289455
57.0,4.0,0.007283891715006452,0.008536742723726797,0.0023304422719907514
58.0,4.0,-0.0037488537320425896,-0.0016331414862512995,0.00042920160206150193
59.0,4.0,-5.5203569849249236e-05,0.006510959509731828,0.0037361180334851696
60.0,4.0,0.013332720755211736,0.022980915315907725,0.014007480947064943
63.0,4.0,0.0010623625894313094,-0.0003206245807863883,-0.00017559601339156572
64.0,4.0,0.009650253250874563,0.007366391982885434,0.0017127370855292146
65.0,5.0,0.006550682590075074,0.006647372959496823,0.00452455995494172
66.0,5.0,0.001554353513737805,0.0026420199314925895,0.004041519314613495
67.0,5.0,-0.0022555155264865844,-0.0012569572457756806,-0.00021734594703937127
70.0,5.0,-0.0002393208677415104,-0.005962069183492858,0.000452194832708086
71.0,5.0,0.0027231798292780217,0.013194417006742986,0.0077791163013856135
72.0,5.0,0.0022438499436911565,0.0035378021212537415,0.005821675803744153
73.0,5.0,0.0018409468777918713,-0.003199341103796438,-0.0003258460273372066
74.0,5.0,-0.012592504782651236,-0.01608785036028173,-0.005086446449439896
77.0,6.0,0.016378502851836653,0.0037552307914973104,0.005095296193887933
78.0,6.0,0.017033402017468634,0.010882875365553624,0.007170966908320198
79.0,6.0,-0.012317652453670535,-0.009221529429347319,-0.005493304207041971
80.0,6.0,-0.0005954432299633217,-0.004884498979841357,-0.001704167338318907
81.0,6.0,-0.006866846875975963,-0.0016463020857138578,0.000737722599547963
84.0,6.0,0.007249219137665896,0.014836397453195626,0.005683234964352302
85.0,7.0,-0.001841546414158368,-0.005604212981331036,4.265937281555665e-05
86.0,7.0,-0.006719990925481245,-0.011719686477325875,-0.00327287474868454
87.0,7.0,0.0018585911530936915,0.0070165870266191924,0.0074138011482498545
91.0,7.0,0.004930616671464394,0.03183542205314991,0.00792799084446738
92.0,7.0,0.004754258828423929,0.0004252005228630007,0.0016842957106795176
93.0,7.0,-0.005536925664904757,-0.011374126029252451,-0.005876707172041695
94.0,7.0,-0.00392360279986711,0.03102646329544323,0.003374341747336196
95.0,8.0,0.01091710371197544,0.008138419040596635,0.00668390656297202
98.0,8.0,0.007067230674285196,0.005961349726814502,0.0017666094762833762
99.0,8.0,0.006168496261804435,-0.0001009554170549043,0.0006854008197059169
100.0,8.0,0.017056485059782002,0.012310952376366346,0.011150066851666862
101.0,8.0,0.00995336544894746,-0.006011861809896024,0.0008425387276917995
102.0,8.0,-0.01683415900254547,-0.020881112822463,-0.016126534744455467
105.0,9.0,-0.002935670621863429,-0.003381131289333694,0.004521331252766547
106.0,9.0,0.01754905605975423,0.014449870244435847,0.008058340784849571
107.0,9.0,0.006351242829144965,-0.0018159239739444332,-0.0010189969053922
